Age,Gender,TotalCalls,TotalUsage,Churn
56,0,128,4635.918844396738,1
69,1,197,4949.674757314998,0
46,1,46,2906.4136598052983,0
32,1,4,544.4080801558288,1
60,0,177,2295.649538877182,0
25,1,23,3938.005732308222,1
38,1,174,138.62662380924596,0
56,1,17,284.4371917807453,1
36,0,83,335.7889119141066,1
40,0,155,3655.178791641554,0
28,1,4,2505.8331428158604,1
28,1,29,1844.4897176029679,0
41,1,0,528.0852263086799,1
53,0,85,3661.2012510294458,0
57,0,81,1605.0990527544984,0
41,0,173,1326.620350323336,0
20,1,68,3261.5960077677546,0
39,0,30,2795.054462984209,1
19,1,197,1812.053209066508,1
41,1,90,3207.4373540279407,1
61,0,183,1356.107601920591,0
47,1,92,3974.151308021634,1
55,0,126,1146.5947515382695,1
19,1,155,794.1884769100782,1
38,1,15,3912.1970474943746,1
50,0,53,3539.460153489666,0
29,1,180,913.1948785089921,1
39,1,139,581.2287634496898,1
61,1,19,4191.99544243346,0
42,1,81,3882.99241098344,1
66,1,161,1636.2868684983212,0
44,1,180,3290.9870410668336,1
59,1,191,620.800932739054,0
45,1,150,2535.2382952383905,0
33,0,108,93.65146030209937,1
32,0,154,1958.0094046077772,1
64,1,112,374.21410735702545,1
68,1,16,2375.7359007844125,1
61,0,175,2108.4082342644715,1
69,1,148,2221.92513319028,1
20,0,177,226.65651023997034,0
54,0,167,1808.081706409162,0
68,0,125,3782.4192454995823,0
24,1,2,1844.5718667681006,0
38,1,16,3575.8597630479035,1
26,1,188,1847.3936181686663,0
56,0,49,2116.197207450932,0
35,0,121,2819.4605641463304,0
21,0,89,4753.409684035412,1
42,1,86,544.3022332332758,1
31,0,5,164.5688433058684,1
67,0,155,3039.785919050226,0
26,1,199,4745.485444642132,1
43,0,54,4948.6156627735745,0
19,0,185,2420.821236960009,0
37,1,172,2340.408105425492,0
45,1,199,3224.8188537259807,1
64,0,146,2778.173786024849,1
24,1,101,3170.4402880705907,1
61,0,28,4369.997127689471,0
25,1,150,3731.5308474380467,1
64,0,110,2484.3869584339777,1
52,1,159,2309.322295000848,1
31,0,9,3198.00874256558,0
34,1,90,2278.5314221014874,0
53,1,176,2288.8967563281994,0
67,1,192,81.52950893252408,0
57,1,28,870.320687036542,1
21,1,186,2442.5681999787653,1
19,1,44,4113.267295251846,0
23,1,194,1393.6350336356206,1
59,0,50,2613.2171656557452,0
21,0,100,1724.8104237961609,1
46,1,127,524.0199476979451,1
35,1,10,4791.492415356503,1
43,0,81,4273.369351251508,0
61,0,127,392.462122334532,1
51,1,5,3598.936312341423,1
27,0,66,1737.899521787501,1
53,0,61,4974.249035308963,1
31,1,132,1511.9925991448886,0
48,1,136,1193.6922268129995,0
65,1,27,2839.452741527026,0
32,0,37,4175.6308167160205,1
25,1,42,962.5943590989899,1
31,1,116,3547.0138485966563,1
40,0,148,307.03291570560845,0
57,1,189,4594.673715552486,0
38,0,45,405.3745807364939,1
33,0,197,4571.156881720813,0
62,0,165,2454.0362472635143,0
35,0,48,2240.455563979599,1
64,0,38,4866.5353975018825,0
41,0,70,4951.920888491095,1
43,1,126,3250.89062980506,0
42,1,157,635.5964592852425,0
62,1,148,2530.8504282760123,0
58,0,0,2645.815504778312,0
46,1,159,2572.2321406765486,1
32,0,135,2847.4591926000485,1
62,1,68,93.62356897195335,0
18,0,29,3556.136407352512,1
42,1,114,3561.97150976494,0
24,0,7,577.3488758894396,1
26,1,112,2851.1972122290035,0
41,0,18,2841.805912178873,1
18,1,58,3412.2521009520005,0
61,0,182,426.9884606754054,0
25,1,157,3132.516536330482,1
41,1,78,1403.7597537317058,0
28,1,35,2535.0149524808594,0
68,0,54,3866.6177635203835,0
34,0,43,3528.2296818150667,0
25,0,154,594.5150883899669,1
52,0,76,2955.923935580366,1
52,0,77,4845.582654703693,0
50,1,100,783.8471866750112,0
22,0,181,4264.535438627075,1
59,1,175,3512.7404027688845,1
56,1,29,3870.016564548798,0
58,0,38,1409.7916357132274,0
45,1,12,1439.4446468992123,1
24,0,121,4530.097278882441,0
26,0,143,1799.1601604627933,1
25,0,171,315.0769534640524,1
29,1,198,3002.9835178972503,1
51,0,111,624.0883452092133,0
50,0,154,3982.981207039541,1
65,0,44,3208.732212505287,1
40,1,118,4373.632526106041,0
41,0,34,3924.1862489131763,1
54,1,155,560.5682416909807,1
52,1,6,1905.3533821721114,1
61,0,189,3872.8012495729363,1
57,1,109,2086.7073663316287,1
39,1,113,4861.827423899892,1
44,0,50,3678.702249467246,0
52,0,45,77.49958345160512,0
18,0,19,4399.928457804182,0
52,1,95,504.02392434278795,1
54,0,37,702.6186209004293,1
64,1,188,3672.4620030552546,1
31,1,103,4324.8427971524015,0
20,1,31,2681.74813949778,0
18,1,153,1445.2486647288958,1
22,1,57,1756.5777262658778,0
43,0,166,1714.44664798028,0
31,0,147,1633.3905190475612,1
56,1,81,1214.548359108249,0
44,1,49,3044.3354731461654,0
26,0,51,4502.026592825336,0
32,0,85,1535.412065416706,0
32,1,114,933.4714873070604,1
43,1,149,4192.888331857124,1
59,0,52,3708.9166544485165,0
30,0,65,4654.185157799552,0
68,1,116,827.5986780245481,0
49,0,42,721.2565705829577,0
56,0,81,2707.1469715249837,1
66,1,150,3072.168274175476,1
69,1,63,2400.8672092979477,0
49,1,136,2994.8331816193772,0
21,0,112,901.8988443753567,0
47,1,134,2398.068770820417,0
54,0,168,3290.4628046983394,1
40,1,53,2163.532246243519,0
56,1,64,3397.236679082989,0
62,0,1,2255.956402769198,1
32,0,131,1667.9979042113862,0
60,1,77,1518.0252354354618,1
46,1,31,2054.51029494294,1
53,0,99,115.44811341100414,0
30,1,129,3342.625692230569,1
49,0,103,4225.528204901309,0
24,0,191,1773.135472215593,0
68,1,141,230.1656807085928,1
39,0,147,4933.877986927788,1
45,0,88,1318.4912772553348,1
19,0,48,633.105608453865,0
59,1,135,1848.7625398651396,0
62,0,190,3692.785203167783,0
23,1,173,1469.5829844528284,0
45,1,148,2873.516019597439,0
45,1,86,2077.799972185711,1
61,0,159,588.8199613830925,1
61,0,7,1651.435062460551,1
37,1,100,3624.352528570333,0
47,1,15,3060.0194866572283,0
28,0,39,598.891899417805,0
45,1,105,816.6120485715428,0
42,1,26,3203.666796537227,0
56,0,103,4067.0770716043444,1
50,1,104,1747.3724797908462,0
18,0,145,2976.553759217251,1
44,0,34,853.2179437605264,0
69,1,112,1556.8816845266192,1
